
PLAYER	TEAM	DATE	MATCHUP	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-
Hassan Whiteside	MIA	04/24/2018	MIA @ PHI	L	10	2	0	4	0.0	0	0	-	2	4	50.0	4	1	5	0	0	1	1	3	-14
Matthew Dellavedova	MIL	04/24/2018	MIL @ BOS	L	16	0	0	2	0.0	0	2	0.0	0	0	-	1	0	1	1	1	0	2	1	-7
Shane Larkin	BOS	04/24/2018	BOS vs. MIL	W	14	4	2	2	100.0	0	0	-	0	0	-	1	1	2	2	2	0	1	2	3
Pau Gasol	SAS	04/24/2018	SAS @ GSW	L	18	1	0	3	0.0	0	0	-	1	2	50.0	2	4	6	3	0	0	1	0	-5
Shabazz Muhammad	MIL	04/24/2018	MIL @ BOS	L	10	11	4	9	44.4	2	3	66.7	1	1	100.0	0	3	3	0	1	0	1	1	8
Tony Snell	MIL	04/24/2018	MIL @ BOS	L	13	0	0	5	0.0	0	5	0.0	0	0	-	0	1	1	0	1	0	0	1	-12
Marco Belinelli	PHI	04/24/2018	PHI vs. MIA	W	30	11	4	12	33.3	0	3	0.0	3	4	75.0	0	3	3	3	0	0	0	0	2
Dejounte Murray	SAS	04/24/2018	SAS @ GSW	L	18	6	2	6	33.3	0	1	0.0	2	3	66.7	1	7	8	0	0	0	0	2	-10
Andre Iguodala	GSW	04/24/2018	GSW vs. SAS	W	31	7	3	8	37.5	1	4	25.0	0	0	-	0	2	2	3	1	0	0	3	2
Robert Covington	PHI	04/24/2018	PHI vs. MIA	W	33	10	4	10	40.0	2	6	33.3	0	0	-	1	4	5	3	0	0	1	2	3
Nemanja Bjelica	MIN	04/23/2018	MIN vs. HOU	L	16	7	2	4	50.0	2	2	100.0	1	2	50.0	1	2	3	1	1	0	0	3	7
Gorgui Dieng	MIN	04/23/2018	MIN vs. HOU	L	16	3	1	2	50.0	1	2	50.0	0	0	-	0	5	5	1	0	1	0	2	-6
Jeff Teague	MIN	04/23/2018	MIN vs. HOU	L	28	2	1	7	14.3	0	3	0.0	0	0	-	0	1	1	5	0	0	3	4	-28
Alex Abrines	OKC	04/23/2018	OKC @ UTA	L	16	10	3	3	100.0	2	2	100.0	2	2	100.0	0	3	3	0	2	0	0	1	-4
Jerami Grant	OKC	04/23/2018	OKC @ UTA	L	18	6	3	7	42.9	0	1	0.0	0	0	-	1	2	3	1	1	1	0	3	-6
Jonas Jerebko	UTA	04/23/2018	UTA vs. OKC	W	7	0	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	2	-2
Carmelo Anthony	OKC	04/23/2018	OKC @ UTA	L	36	11	5	18	27.8	0	6	0.0	1	1	100.0	2	4	6	0	1	2	1	2	-18
Trevor Ariza	HOU	04/23/2018	HOU @ MIN	W	33	15	4	10	40.0	3	8	37.5	4	4	100.0	0	2	2	3	1	0	0	4	23
Russell Westbrook	OKC	04/23/2018	OKC @ UTA	L	36	23	7	18	38.9	0	3	0.0	9	11	81.8	4	10	14	3	0	0	5	5	-14
Rudy Gobert	UTA	04/23/2018	UTA vs. OKC	W	34	16	7	11	63.6	0	0	-	2	2	100.0	4	6	10	1	1	1	2	4	19
Paul George	OKC	04/23/2018	OKC @ UTA	L	40	32	9	21	42.9	2	9	22.2	12	12	100.0	1	5	6	2	2	0	6	3	-15
Joe Johnson	HOU	04/23/2018	HOU @ MIN	W	2	2	1	1	100.0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0
Dante Exum	UTA	04/23/2018	UTA vs. OKC	W	10	2	0	3	0.0	0	1	0.0	2	2	100.0	0	2	2	1	0	0	1	1	-7
Raul Neto	UTA	04/23/2018	UTA vs. OKC	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-3
Terrance Ferguson	OKC	04/23/2018	OKC @ UTA	L	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	3
Steven Adams	OKC	04/23/2018	OKC @ UTA	L	35	9	4	9	44.4	0	0	-	1	2	50.0	1	6	7	1	0	2	0	0	-19
Donovan Mitchell	UTA	04/23/2018	UTA vs. OKC	W	39	33	13	28	46.4	3	8	37.5	4	5	80.0	0	7	7	4	0	1	0	3	22
Josh Huestis	OKC	04/23/2018	OKC @ UTA	L	6	0	0	0	-	0	0	-	0	0	-	0	2	2	0	0	0	0	0	3
Aaron Jackson	HOU	04/23/2018	HOU @ MIN	W	2	0	0	1	0.0	0	1	0.0	0	0	-	0	1	1	0	0	0	0	1	0
